Main Category,Subcategory,Question
Transport & Moving,5.1 Moving Services,What items need to be moved?
Transport & Moving,5.1 Moving Services,What is the size of the property (m² or number of rooms)?
Transport & Moving,5.1 Moving Services,"Are there any fragile or special items (e.g., piano, art)?"
Transport & Moving,5.1 Moving Services,What is the pickup and delivery address?
Transport & Moving,5.1 Moving Services,Do you need packing and unpacking as well?
Transport & Moving,5.1 Moving Services,When should the move take place?
Transport & Moving,5.2 Packing & Unpacking,How many boxes or items need to be packed/unpacked?
Transport & Moving,5.2 Packing & Unpacking,Do you need packing materials to be provided?
Transport & Moving,5.2 Packing & Unpacking,Are there fragile or high-value items?
Transport & Moving,5.2 Packing & Unpacking,Do you need assistance with organizing items?
Transport & Moving,5.2 Packing & Unpacking,When do you need the service?
Transport & Moving,5.3 Furniture Transport,Do you already have the furniture or need to purchase it?
Transport & Moving,5.3 Furniture Transport,What type of furniture needs transporting?
Transport & Moving,5.3 Furniture Transport,How many pieces are there?
Transport & Moving,5.3 Furniture Transport,From and to which addresses will the transport occur?
Transport & Moving,5.3 Furniture Transport,Do you need assembly or disassembly?
Transport & Moving,5.4 Junk Removal,"What kind of junk needs to be removed? (e.g., furniture, garden waste, renovation debris)"
Transport & Moving,5.4 Junk Removal,How much waste is there (volume or estimated bags)?
Transport & Moving,5.4 Junk Removal,Is the waste already collected in one place?
Transport & Moving,5.4 Junk Removal,Are there any hazardous materials?
Transport & Moving,5.4 Junk Removal,When should the removal take place?
Transport & Moving,5.5 Van with Driver,"What do you need the van for? (e.g., moving, delivery, event)"
Transport & Moving,5.5 Van with Driver,How many hours or days will the van be needed?
Transport & Moving,5.5 Van with Driver,What size van do you require?
Transport & Moving,5.5 Van with Driver,Do you need help with loading and unloading?
Transport & Moving,5.5 Van with Driver,When do you need the van and driver?
Transport & Moving,5.6 Small Delivery Tasks,What needs to be delivered?
Transport & Moving,5.6 Small Delivery Tasks,What are the pickup and drop-off locations?
Transport & Moving,5.6 Small Delivery Tasks,How large/heavy is the package?
Transport & Moving,5.6 Small Delivery Tasks,Is it a one-time or recurring delivery?
Transport & Moving,5.6 Small Delivery Tasks,When should the delivery take place?
Transport & Moving,5.7 Piano Transport,"What type of piano is it? (e.g., upright, grand)"
Transport & Moving,5.7 Piano Transport,"Where is it located (floor level, stairs, elevator)?"
Transport & Moving,5.7 Piano Transport,What is the destination address?
Transport & Moving,5.7 Piano Transport,Do you need packaging or padding included?
Transport & Moving,5.7 Piano Transport,When do you want the transport to occur?
